story_qn,answer_text
How can I add a milestone?,"**Precondition:** You must have at least one phase.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan 
    screen.
3. Choose the ➕  button in the desired 
    phase.
4. Select ""Add Milestone"".
5. Enter a milestone name in the 
     ""Milestone name"" field.
6. Select a milestone type.

Congratulations, you added a new milestone ✔️ 
Wasn’t that easy? 😊"
add milestone,
How can I create a milestone?,
How can I make a milestone?,
How can I cluster referenced milestones?,"**Precondition:** You must have at least one milestone that can be referenced.
❕ Referenced milestones are only read only.
❕ Referenced milestones are marked with 
   an icon.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan screen.
3. Choose the ➕ button.
4. Select ""Add Referenced Milestone"".
     → The Add Referenced Milestones 
          window is displayed.
5. Enter a program.
6. Select a delivery from the program.
7. Select the milestones to be referenced.
8. Choose the 🆗  button.

Congratulations, you added a referenced milestone ✔️ 
Wasn’t that easy? 😊"
How can I make a  referenced milestones?,
How can I create a  referenced milestones?,
add  referenced milestones,
How can I add a  referenced milestones?,
How can I change to a graphical view of milestones?,"❕ All features of the table view are also 
   possible in the graphical view, besides 
   adding a new phase.

❕ In addition it is possible to move 
   milestones via drag & drop.

1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan 
    screen.
3. Choose the button, which shows bars.

Good job, the graphical view of the milestones is displayed ✔️
Isn't that cool! 😊"
"No. There is a view with the delivery milestones. This is a tree with exactly one node that is always collapsed initially. I would like that to be expanded initially to save an unnecessary click. Of course, there is no way in Hel that you will understand this or be able to provide any useful help. As usual.",
graphical view of milestones,
How can I automatically have the Milestone tree expand?,
How can I copy a milestone from a delivery?,"1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan screen.
3. Choose the ➕ button.
4. Select ""Copy Milestone from Delivery"".
     → The Copy Milestones from Delivery 
           window is displayed.
5. Enter a program.
6. Select a delivery from the program.
7. Select the milestones to be copied.
8. Choose the 🆗 button.

Great, a milestone is copied from a delivery ✔️
Wasn't that easy! 😊"
import milestones,
Copy a milestone from a delivery,
How can I duplicate a milestone?,
copy milestone,
How can I copy a milestone?,
How can I sort all milestones?,"1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan 
    screen.
3. Choose the ""Sort Milestones"" button.
     → The sort options are displayed.
4. Select a sort option.

Congratulations, tyou sorted the milestones ✔️
That's it! 😊"
How to switch milestones,
sort milestones,
How to rearrange milestones,
What is RTC?,"Let me give you a short definition 📝 
The **Release-To-Customer (RTC)** is a mandatory release milestone date that marks the initial availability of a release to customers and the beginning of the (un)restricted shipment phase.

- Sirius is the central tool to maintain the RTC for each delivery.
- In the RTC Date - Planning and Change Process Framework document (see below) the relevant rules and processes are described."
RTC,
define RTC,
How can I set a RTC date?,"**Precondition:** The RTC date must be in the future.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan screen.
3. Choose the  ""Start before RD"" phase.
4. Choose the Date field.
     → The Milestone ""Release to Customer"" 
           opens.
5. Choose the ""Date"" field.
     → A calendar opens.
6. Choose a date.

Well done, a RTC date is set ✔️ 
Wasn’t that easy? 😊"
set RTC date,
How can I change the RTC date?,"**Precondition:** Each RTC change needs to be aligned with the stakholders of your delivery.
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Release Plan screen.
3. Choose the  ""Start before RD"" phase.
4. Choose the ""Date"" field.
     → The Milestone ""Release to Customer"" 
           opens.
5. Choose the ""Date"" field.
     → The Edit Milestone Date ""Release 
          Customer"" window opens.
6. Choose a new date.
7. Confirm that you have aligned this RTC 
    change with all relevant stakeholders.
8. Give reasons for the RTC change.
9. Choose the ""Save"" button.

Well done, the RTC date is changed ✔️ 
Wasn’t that easy? 😊"
change RTC date,
How can I communicate the RTC date externally?,"⚠️ For new products, please send a mail to [Pascale Van Den Driessche](mailto:pascale.van.den.driessche@sap.com) or [Dieter Zuern](mailto:dieter.zuern@sap.com) for adding the program and PPMS Product Version to the schedule.
**Preconditions:**
- Each product version in a Sirus program needs to be activated once for participation in external RTC schedule.
- Each Sirius delivery needs a product version assigned.
**Activate the delivery for external communication**
1. Navigate to the Delivery screen.
2. Navigate to the Delivery Details screen.
3. Choose the ""Publish RTC Externally"" checkbox.
4. Insert the Support Package Stack.
-> The delivery is activated for external communication.

**Communicate the RTC externally**

a)  [SAP Support Portal PAM page](https://support.sap.com/en/release-upgrade-maintenance.html#section_1969201630)
b)  [SAP Support Portal RTC schedule page](https://accounts.sap.com/saml2/idp/sso/accounts.sap.com)
Congratulations, the RTC is communicated externally ✔️ 

Long process but worth it! 😊"
commmunicate RTC externally,
What is the difference between RTC and GA date?,"**Release to Customer date (RTC)**
marks the begin of the restricted shipment phase (including Early Adopter Care Service).
**General Availability date (GA)**
marks the begin of the unrestricted shipment phase.
Everything clear now? 😊"
RTC vs. GA,
What are product standards?,"Let me give you a short definition 📝 
[**Product Standards**](https://portal.wdf.sap.corp/wcm/ROLES://portal_content/cp/roles/employee/company/ManagementSystems/Infocenters/Global%20Communications%20for%20SAP/Management%20Systems/~/Quality%20Management%20System/Innovation%20Cycle/Product%20Standards) define software qualities which need to be fulfilled by all SAP products to enable SAP‘s business model. To do so, product standards define requirements to enable selling SAP products worldwide, efficient support, reaching all kinds of users, mitigating risk of lawsuits, up- and cross-selling into existing customer landscapes, and so on."
product standards,
How can I edit a requirement?,"**Precondition:** The Product Standard Requirement subplans must be enabled.
1. Navigate to the Delivery screen.
2. Navigate to the Product Standard 
    Plans screen.
3. Choose the ""Edit all Requirements"" 
     button.
     → The PS-Plan Main Plan Screen is 
          displayed.
4. Choose the product standard 
     requirement you want to edit.
5. Edit the product standard requirement 
    you want to change.

Well done, the requirement is edited ✔️ 
Wasn't that easy! 😊"
edit requirement,
How can I change a requirement?,
Compliance status of product standard requirements have changed and must be updated,
edit ps requirement,
How do I get new product standards?,
Compliance status of product standard requirements are wrong and must be corrected,
How do I maintain product standard requirements?,
how to revert PSR,
How can I overwrite product standards?,"⚠️ This functionality overwrites ALL
       Product Standard compliance 
       settings in the target plan! There is 
       NO undo functionality.
1. Choose ""Overwrite..."" button within the 
     product standard table.
2. Select source Program you want to 
    copy from.
3. Select source Delivery you want to  
    copy from.
4. Select source Plan you want to copy 
    from.
5. Choose ""Overwrite..."" button.

Product Standards plan is successfully overwritten ✔️
Simple, isn’t it! 😊"
overwrite ps,
copy ps,
How can I copy product standards?,
How do I enable product standards requirement subplans?,"1. Navigate to the Delivery screen.
2. Navigate to the Delivery Details 
     screen.
3. Navigate to the Product Standard 
     Requirement Subplans section.
4. Choose the ""Activate Subplans"" button.
    → The Enable Product Standard 
          Requirement Subplans window is 
           displayed.
6. Choose the ""Enable Subplans"" button.

Good job, the product standard requirement subplans are enabled ✔️
Wasn’t that easy? 😊"
enable product standards requirements,
How do I enable product standards requirements?,
How do I disable product standards requirement subplans?,"1. Navigate to the Delivery screen.
2. Navigate to the Delivery Details 
    screen.
3. Navigate to the Product Standard 
    Requirement Subplans section.
4. Choose the ""Deactivate Subplans"" 
    button.
5. The Enable Product Standard 
     Requirement Subplans window is 
     displayed.
6. Choose the ""Disable Subplans"" button.

Good job, the product standard requirement subplans are disabled ✔️
Wasn’t that easy? 😊"
disable product standards requirements,
How do I disable product standards requirements?,
How can I create a subplan?,"**Precondition:** The Product Standard Requirement subplans must be enabled.
1. Navigate to the Delivery screen.
2. Navigate to the Product Standard 
     Plans screen.
3. Choose the ""Create Subplan"" button.
    → A new subplan is created and 
         displayed below.
4. Enter a responsible person.

Well done, a subplan is created and a new Product Standard Requirements section is displayed in the Overview Screen ✔️
Simple, isn’t it! 😊"
create subplan,
How can I create a product standards requirement subplan?,
How do I break down my PSC into smaller entities?,
How can I delete a subplan?,"**Precondition:** The Product Standard Requirement subplans must be enabled.
1. Navigate to the Delivery screen.
2. Navigate to the Product Standard 
    Plans screen.
3. Navigate to the subplan you want to 
     delete.
4. Choose the ""Menu"" button.
     → The different options are displayed.
5. Choose ""Delete""
     → The Delete Subplan window is 
           displayed.
6. Choose the ""Delete"" button.

Good job, the subplan is deleted ✔️
Simple, isn’t it! 😊"
How can I delete a product standards requirement subplan?,
delete subplan,
How can I aggregate subplans?,"**Precondition:** The Product Standard Requirement subplans must be enabled.
1. Navigate to the Delivery screen.
2. Navigate to the Product Standard 
    Plans screen.
3. By choosing the ""select for aggregation"" 
    button, select the subplans you want to 
    aggregate.
4. Choose the ""Aggregate Subplans"" 
     button.
→ The Aggregate Subplans window is 
     displayed.
5. Choose the ""Aggregate"" button.

The suplans are aggregated ✔️
The Aggregated Product Standard Requirements window is displayed ✔️
The aggregation collects all product standard statements from the selected subplans, overwriting the current delivery plan based on the rules ✔️
Well done! 😊

You can find the aggregation rules in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/x/PRCUeg)."
aggregation rules?,
aggregate subplans,
How are the aggregation rules?,
How can I rename a subplan?,"Just click on it and change it 😊

❕ Your changes will be saved 
    automatically."
rename subplan,
How can I create a follow-up delivery?,"⚠️ If you want to create a follow-up 
      delivery with one of the delivery 
      modes:
- Feature
- Correction and Legal Changes 
there must be one delivery of type ""Release"" in the delivery sequence.

1. Navigate to the Deliveries section.
2. Choose the ""Create Delivery"" button.
3. In the Previous Delivery field choose 
     a previous delivery.
4. Enter a delivery name incl. version.
5. Select a predefined attribute set.
6. Select the required services.
7. Adapt the attributes as needed.
8. Choose the ""Create and Activate"" 
    button.

A follow-up delivery is created ✔️ 
Tasks are copied ✔️ 
Comments are copied ✔️ 
Documents are copied ✔️ 
Subplans are copied✔️ 

Well done! 😊
Please find more information on follow-up delilveries in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/x/6VhEeg)."
create follow-up delivery,
What is a follow-up delivery?,
follow-up delivery,
What does Previous Delivery only of IC/CC mean?,"❕ This applies only to programs which did not take part in the CloudCycle pilot program (Tasks without ""CC"" in the name).
All new deliveries which have no CloudCycle predecessor need to create one standalone delivery with the type ""Release"" without predecessor. 
This is a one-time activity and we will ensure that for all further process changes the follow-up deliveries can be used without special activities.
Please find the complete Cloud Cycle migration guide [here](https://jam4.sapjam.com/groups/CFEUPaA9UG4bdDrL2r3DHR/documents/YIMyCrNKWvsUmFKpYCLMWe/slide_viewer).
Happy exploring! 😊"
Previous Delivery only of IC/CC,
What is a task?,"Let me give you a short definition 📝 
A task is an activity that needs to be done to create and deliver software in compliance with SAP´s development quality management system (QMS). When a delivery is created in the Sirius tool, a set of tasks is generated based on the delivery's attributes."
define task,
task,
What is the difference between a Delivery Task and a Cross-Delivery Task?,"Let me give you a quick overview 📝 
**Delivery Tasks**
This group contains all tasks which need to be fulfilled for every delivery. The status is always initially ""Open"" and needs to be changed manually.

**Cross-Delivery Tasks** 
This group contains all tasks which usually need to be done only once or updated periodically and independent from a specific delivery. This group is collapsed at the beginning and the status values will be copied into follow-up deliveries. Nevertheless the tasks should be checked before every release if anything needs to be updated.

ℹ: Visit out [friendly documentation](https://wiki.wdf.sap.corp/wiki/x/5qpniw) to learn more."
What is a cross delivery task?,
What is a delivery task?,
How can I create a task?,"1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose a Task section.
4. Choose the ""+""  button.
     → A new task is displayed.
5. Enter a task name.

Congratulations, you created a new task✔️
Simple, isn’t it! 😊"
How do I get new tasks?,
How can I create a custom task?,
create task,
How can I make a task?,
How can I delete a task?,"**Precondition**: You must have created the task.
1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose a Task section.
4. Choose a task.
    ⚠️ The comment is deleted immediately, 
           when you choose the  button.
5. Choose the ""🗑"" button.

Congratulations, you created the task✔️
Wasn’t that easy? 😊"
delete task,
I accidently created a task,
How can I assign a task?,"1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose the Task section.
4. Choose the task you want to assign.
5. Choose the field ""Not Assigned"".
6. Enter a name.

Congratulations, you assigned the task✔️
Simple, isn’t it! 😊"
assign task,
How can I set a due date,"**Precondition:** The due date must be in the future.
1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose a Task section.
4. Choose a task.
5. Choose the 📅 button.
     → A calendar window opens.
6. Choose a due date.

Congratulations, you have set a due date ✔️
Wasn’t that easy? 😊"
set a due date,
How can I send a mail to assignee?,"**Precondition:**  The task must have been assigned.
1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose the Task section.
4. Choose the task you want to send 
     a mail to an assignee.
5. Choose the ✉️ button.
→ The Mail window is displayed with a 
     prewritten mail including all relevant 
     information.
6. Choose the ""Send"" button.

Congratulations, you have sent a mail to the assignee of the task ✔️
Wasn’t that easy? 😊"
How can I inform the assigned person?,
send mail to assignee of task,
What tasks status are available?,"For detailed information on each Taks Status, please [follow me](https://wiki.wdf.sap.corp/wiki/x/ERULeg)."
What does Completed Until Due Date mean?,
What does in process mean?,
What does Not Applicable Until Due Date mean?,
What does Completed mean?,
What does Not Applicable mean?,
What does Critical mean?,
What task attributes are available?,
What does open mean?,
How can I change the task status?,"1. Navigate to the Delivery screen.
2. Navigate to the Task screen.
3. Choose the Task section.
4. Choose the task you want to change the 
     status.
5. Choose the ""Status"" field.
     → The task status values are 
          displayed.
6. Choose a new status.

Congratulations, you changed the task status✔️

For detailed information on each Taks Status, please [follow me](https://wiki.wdf.sap.corp/wiki/x/ERULeg)."
change task status,
Can I upload documents?,"To provide additional information on a task in form of external documents you can upload them. All standard formats (e.g. MS Excel, MS Word, ...) are supported.

❕ Every document which is uploaded 
   gets a timestamp.

→ Good news 😊: Therefore all documents are IP-Compliant."
Can I upload a file?,
Are my uploaded documents IP-Compliant?,
How can I upload a document?,"1. Navigate to the Tasks screen.
2. Choose the 📤 button.
     → The Documents of Task ""xy"" window 
           is displayed.
3. Select a new document.
     a) From your PC: Choose the 
          ""Select File"" button
     b) From a link: Enter a valid link.
4. Optional: Change the name of the document.
5. Choose the ""Upload"" button.
6. Choose the ""Close"" button. 

Congratulations, your document is uploaded ✔️
Wasn’t that easy? 😊"
How can I upload a file?,
upload file,
upload document,
Why cant my document be uploaded?,"OhOh 😲
Let's check together what might went wrong.
There are a few things you need to consider, when uploading a document:
❕ Every document is stored with a time 
    stamp in your Delivery.
❕ There is a character limit for the name of 
    the document."
my upload went wrong,
upload problems,
Why cant my file be uploaded?,
upload issues,
